Location,Bait,Start,End,Transition,Weather,"Predator, Amount",Tug,Hookset,Gathering,Snagging?,Fish Eyes?,ID
Limsa Lominsa Upper Decks,,,,,,,,,,,,10101
Merlthor Goby,Lugworm,,,,,,Light,,,,,4
Lominsan Anchovy,Lugworm,,,,,,Light,,,,,5
Malm Kelp,Lugworm,,,,,,Light,,,,,1
Finger Shrimp,Lugworm,,,,,,Light,,,,,8
Ocean Cloud,Pill Bug,,,,,,Light,,,,,12
Harbor Herring,Pill Bug,,,,,,Medium,Powerful,,,,15
Coral Butterfly,Pill Bug,,,,,,Medium,Powerful,,,,20
Blue Octopus,Merlthor Goby,,,,,,Medium,Powerful,,,,45
Goldenfin,Pill Bug,9,14,,,,Heavy,Precision,,,,208
Limsa Lominsa Lower Decks,,,,,,,,,,,,10201
Merlthor Goby,Lugworm,,,,,,Light,,,,,4
Lominsan Anchovy,Lugworm,,,,,,Light,,,,,5
Malm Kelp,Pill Bug,,,,,,Light,,,,,1
Finger Shrimp,Lugworm,,,,,,Light,,,,,8
Ocean Cloud,Pill Bug,,,,,,Light,,,,,12
Harbor Herring,Pill Bug,,,,,,Medium,Powerful,,,,15
Coral Butterfly,Floating Minnow,,,,,,Medium,Powerful,,,,20
Blue Octopus,Ocean Cloud,,,,,,Medium,Powerful,,,,45
Octomammoth,Harbor Herring,9,17,,,,Heavy,Powerful,,,,230
Zephyr Drift,,,,,,,,,,,,10301
Merlthor Goby,Lugworm,,,,,,Light,,,,,4
Lominsan Anchovy,Lugworm,,,,,,Light,,,,,5
Finger Shrimp,Lugworm,,,,,,Light,,,,,8
Ocean Cloud,Pill Bug,,,,,,Light,,,,,12
Sea Cucumber,Goby Ball,,,,,,Light,,,,,14
Harbor Herring,Pill Bug,,,,,,Medium,Powerful,,,,15
Coral Butterfly,Floating Minnow,,,,,,Medium,Powerful,,,,20
Angelfish,Steel Jig,,,,,,Medium,Powerful,,,,40
Blue Octopus,Merlthor Goby,,,,,,Medium,Powerful,,,,45
Zalera,Rat Tail,9,14,,,,Heavy,Precision,,,,201
Rogue River,,,,,,,,,,,,10303
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Chub,Moth Pupa,,,,,,Light,,,,,3
Dwarf Catfish,Moth Pupa,,,,,,Light,,,,,7
Princess Trout,Crayfish Ball,,,,,,Medium,Powerful,,,,11
La Noscean Perch,Floating Minnow,,,,,,Medium,Powerful,,,,37
Beguiler Chub,Moth Pupa,9,14,,,,Heavy,Precision,,,,202
West Agelyss River,,,,,,,,,,,,10304
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Chub,Moth Pupa,,,,,,Light,,,,,3
Dwarf Catfish,Moth Pupa,,,,,,Light,,,,,7
Princess Trout,Crayfish Ball,,,,,,Medium,Powerful,,,,11
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
La Noscean Perch,Sinking Minnow,,,,,,Medium,Powerful,,,,37
Great Gudgeon,Crayfish Ball,,,,,,Heavy,Precision,,,,211
Summerford,,,,,,,,,,,,10302
Merlthor Goby,Lugworm,,,,,,Light,,,,,4
Finger Shrimp,Lugworm,,,,,,Light,,,,,8
White Coral,Pill Bug,,,,,,Light,,,,,10
Ocean Cloud,Pill Bug,,,,,,Light,,,,,12
Harbor Herring,Floating Minnow,,,,,,Medium,Powerful,,,,15
Vongola Clam,Northern Krill,,,,,,Light,,,,,18
Blue Octopus,Ocean Cloud,,,,,,Medium,Powerful,,,,45
Ogre Barracuda,Harbor Herring,,,,,,Medium,Powerful,,,,58
Silver Shark,Merlthor Goby,,,,,,Medium,Powerful,,,,111
Gigantshark,Merlthor Goby,,,,"Clear Skies, Fair Skies",,Heavy,Powerful,,,,209
Nym River,,,,,,,,,,,,10305
Chub,Moth Pupa,,,,,,Light,,,,,3
Dwarf Catfish,Moth Pupa,,,,,,Light,,,,,7
Princess Trout,Crayfish Ball,,,,,,Medium,Powerful,,,,11
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Maiden Carp,Bloodworm,,,,,,Medium,Powerful,,,,23
La Noscean Perch,Floating Minnow,,,,,,Medium,Powerful,,,,37
High Perch,Sinking Minnow,5,8,,,,Heavy,Powerful,,,,232
Woad Whisper Canyon,,,,,,,,,,,,10306
Dwarf Catfish,Moth Pupa,,,,,,Light,,,,,7
