LocationID,X,Y,Z,Type,ObjectName,Map,Territory
2621861,211.212799,113.504799,-226.875793,1,agricultural_heya1,15,134
2621891,210.876007,113.499397,-230.049896,1,agricultural_heya1,15,134
2621893,225.503601,113.504799,-222.496002,1,agricultural_heya1,15,134
2621894,221.0327,113.516602,-228.557007,1,agricultural_heya1,15,134
2621895,215.285797,113.520798,-219.136795,1,agricultural_heya1,15,134
2621924,231.962494,113.5047,-217.599792,1,agricultural_heya1,15,134
2621925,226.957199,113.5,-227.689896,1,agricultural_heya1,15,134
2621926,227.130402,113.5047,-220.212097,1,agricultural_heya1,15,134
2621927,226.221695,113.504799,-228.814896,1,agricultural_heya1,15,134
2621928,227.583496,116.179199,-228.0923,1,agricultural_heya1,15,134
2621929,226.935394,116.131104,-229.008606,1,agricultural_heya1,15,134
2621958,228.241104,116.364304,-227.2034,1,agricultural_heya1,15,134
2621964,212.598602,113.492401,-224.047699,1,agricultural_heya1,15,134
2621965,216.555099,113.487099,-226.872101,1,agricultural_heya1,15,134
2621966,213.295105,113.507896,-222.610794,1,agricultural_heya1,15,134
2621968,227.885406,113.497803,-226.430801,1,agricultural_heya1,15,134
2621969,221.207993,113.504799,-235.198303,1,agricultural_heya1,15,134
2621970,222.8255,113.500099,-233.391098,1,agricultural_heya1,15,134
2621971,222.567596,114.5774,-233.185593,1,agricultural_heya1,15,134
2621973,232.858704,115.590797,-217.073593,1,agricultural_heya1,15,134
2621974,211.944794,115.283302,-231.578903,1,agricultural_heya1,15,134
2622820,217.914795,113.506897,-216.101898,1,agricultural_heya1,15,134
2622821,213.705902,113.504799,-228.695999,1,agricultural_heya1,15,134
2622823,214.553101,113.485901,-225.460999,1,agricultural_heya1,15,134
2622824,214.972595,113.487999,-231.880402,1,agricultural_heya1,15,134
2622825,224.325104,113.507896,-230.602707,1,agricultural_heya1,15,134
2622880,228.987503,113.507896,-224.145996,1,agricultural_heya1,15,134
2622885,226.042603,113.505798,-221.702301,1,agricultural_heya1,15,134
2622887,224.454803,113.504799,-223.867203,1,agricultural_heya1,15,134
2622888,223.438202,113.504799,-225.316605,1,agricultural_heya1,15,134
2622889,227.143005,113.502098,-221.901703,1,agricultural_heya1,15,134
2622890,227.126602,113.499199,-218.432602,1,agricultural_heya1,15,134
2622891,228.779205,113.5047,-220.483704,1,agricultural_heya1,15,134
2622970,225.5755,113.498901,-219.939804,1,agricultural_heya1,15,134
2623107,228.234207,115.941803,-227.195099,1,agricultural_heya1,15,134
2623169,229.375397,115.024902,-214.549606,1,agricultural_heya1,15,134
2624057,223.480698,113.504799,-211.133499,1,agricultural_heya1,15,134
