hash,added,accepted,content_type,name,id,map,placename,position,ingame_xy,data
0046934fc4e6a24df9ae5927fc5c323954644991,2016-12-16 07:57:46,0,Gathering,Mineral Deposit,30876,17,32,"{""map"":{""id"":17,""folder"":""s1f3\/00"",""path"":""s1f3\/s1f3.00.png"",""region"":22,""placename"":32,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":76,""hierarchy"":1,""territory_id"":137,""patch"":0},""position"":{""x"":334.8,""y"":299.5,""z"":42.8},""ingame"":{""x"":28.2,""y"":27.5},""coordinates"":{""x"":28.53427734375,""y"":27.818969726562}}","28.2,27.5",[]
0057825b94693216624cf88733249e625568a4d6,2016-12-26 12:04:41,0,Gathering,Lush Vegetation Patch,31132,214,2002,"{""map"":{""id"":214,""folder"":""d2f3\/00"",""path"":""d2f3\/d2f3.00.png"",""region"":498,""placename"":2002,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":164,""hierarchy"":1,""territory_id"":400,""patch"":0},""position"":{""x"":219,""y"":447.2,""z"":-37.8},""ingame"":{""x"":27,""y"":31.5},""coordinates"":{""x"":27.279849403783,""y"":31.904019325658}}","27,31.5",[]
00ab029e1f682ae3b0ca3028fe3c7bd74d055807,2016-12-26 12:19:40,0,Gathering,Lush Vegetation Patch,30371,19,34,"{""map"":{""id"":19,""folder"":""s1f5\/00"",""path"":""s1f5\/s1f5.00.png"",""region"":22,""placename"":34,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":78,""hierarchy"":1,""territory_id"":139,""patch"":0},""position"":{""x"":600.4,""y"":178.2,""z"":-1.3},""ingame"":{""x"":33.5,""y"":25.1},""coordinates"":{""x"":33.91630859375,""y"":25.360986328125}}","33.5,25.1",[]
00d316a9df12cd8ee9b405f7720e7de2a101dd6c,2017-12-07 19:47:16,0,Gathering,Carrière De Pierre,32062,368,2407,"{""map"":{""id"":368,""folder"":""g3f2\/00"",""path"":""g3f2\/g3f2.00.png"",""region"":2400,""placename"":2407,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":278,""hierarchy"":1,""territory_id"":620,""patch"":36},""position"":{""x"":-344.9,""y"":496.6,""z"":272.7},""ingame"":{""x"":14.6,""y"":31.4},""coordinates"":{""x"":14.761059570313,""y"":31.812939453125}}","14.6,31.4",[]
00f19f7ca4b07e04e35edd4e3b7513dfedd6a78a,2016-11-24 21:36:18,0,Gathering,Lush Vegetation Patch,31104,212,2000,"{""map"":{""id"":212,""folder"":""d2f1\/00"",""path"":""d2f1\/d2f1.00.png"",""region"":498,""placename"":2000,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":162,""hierarchy"":1,""territory_id"":398,""patch"":0},""position"":{""x"":714.3,""y"":177.4,""z"":-37.3},""ingame"":{""x"":36.9,""y"":26.1},""coordinates"":{""x"":37.31644608347,""y"":26.436880653783}}","36.9,26.1",[]
0109f2240f32fc5f4cdac4de3fc97f2aa457813f,2016-12-25 00:41:35,0,Gathering,Unspoiled Lush Vegetation Patch,31008,17,32,"{""map"":{""id"":17,""folder"":""s1f3\/00"",""path"":""s1f3\/s1f3.00.png"",""region"":22,""placename"":32,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":76,""hierarchy"":1,""territory_id"":137,""patch"":0},""position"":{""x"":-254.4,""y"":319.8,""z"":42.4},""ingame"":{""x"":16.4,""y"":27.9},""coordinates"":{""x"":16.594921875,""y"":28.230322265625}}","16.4,27.9",[]
0113226415ea5285f86614bc1bb0d359aada8dd2,2016-12-25 01:39:47,0,Gathering,Mineral Deposit,30799,22,44,"{""map"":{""id"":22,""folder"":""w1f3\/00"",""path"":""w1f3\/w1f3.00.png"",""region"":24,""placename"":44,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":41,""hierarchy"":1,""territory_id"":145,""patch"":0},""position"":{""x"":-387.5,""y"":-131.6,""z"":-15.4},""ingame"":{""x"":13.7,""y"":18.9},""coordinates"":{""x"":13.897827148438,""y"":19.08330078125}}","13.7,18.9",[]
011f2bdce790d5957aceb8fcd9981fec4192dbaf,2016-12-25 23:16:13,0,Gathering,Mineral Deposit,30693,20,42,"{""map"":{""id"":20,""folder"":""w1f1\/00"",""path"":""w1f1\/w1f1.00.png"",""region"":24,""placename"":42,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":40,""hierarchy"":1,""territory_id"":140,""patch"":0},""position"":{""x"":345.1,""y"":147,""z"":76.4},""ingame"":{""x"":28.4,""y"":24.4},""coordinates"":{""x"":28.742993164062,""y"":24.728759765625}}","28.4,24.4",[]
01298796802656e9f97db36fda1a4762d6b75abd,2016-12-20 22:01:13,0,Gathering,Mineral Deposit,30106,6,56,"{""map"":{""id"":6,""folder"":""f1f3\/00"",""path"":""f1f3\/f1f3.00.png"",""region"":23,""placename"":56,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":7,""hierarchy"":1,""territory_id"":153,""patch"":0},""position"":{""x"":-273.5,""y"":-136.6,""z"":13},""ingame"":{""x"":16,""y"":18.8},""coordinates"":{""x"":16.207885742188,""y"":18.981982421875}}","16,18.8",[]
013dde5dd108b88be9915c14ea98c6aff48d86c4,2017-12-07 20:16:09,0,Gathering,Arbre Mature,32119,371,2409,"{""map"":{""id"":371,""folder"":""e3f1\/00"",""path"":""e3f1\/e3f1.00.png"",""region"":2401,""placename"":2409,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":281,""hierarchy"":1,""territory_id"":613,""patch"":36},""position"":{""x"":945.3,""y"":-598.7,""z"":-162.2},""ingame"":{""x"":40.4,""y"":9.5},""coordinates"":{""x"":40.905249023437,""y"":9.6181396484375}}","40.4,9.5",[]
